#specObjID,spiral,elliptical,petroMag_u,petroMag_g,petroMag_r,z
300752741058242560,1,0,19.46854,17.99245,17.21834,0.09272406
300754940081498112,1,0,15.36721,13.52263,12.61929,0.01255482
300755489837312000,1,0,19.2469,17.77241,16.7505,0.09438431
300756039593125888,0,1,17.72635,16.08324,15.10189,0.07970483
300756589348939776,1,0,20.26942,18.26098,17.41463,0.07993679
300762636662892544,1,0,19.31243,17.99639,17.19363,0.04688425
300763736174520320,1,0,19.4082,18.22036,17.63849,0.08794834
300764011052427264,1,0,17.45989,16.20617,15.72777,0.03454532
300764835686148096,1,0,18.73321,17.71964,17.20638,0.03512238
300765935197775872,1,0,16.59658,15.22845,14.74983,0.03467124
300769233732659200,1,0,18.46271,17.21633,16.63574,0.08935121
300774456412891136,1,0,19.11756,17.95834,17.48981,0.02051127
300775830802425856,1,0,17.96125,16.6257,15.75354,0.06268381
300777480069867520,1,0,19.66637,18.20422,17.53011,0.08944283
300777754947774464,0,1,19.00584,17.19049,16.15196,0.1261049
300778029825681408,1,0,19.96101,18.20314,17.27137,0.08549848
300779953971030016,0,1,20.99963,19.07602,17.77555,0.2138558
300781053482657792,1,0,17.62098,16.44498,15.83548,0.0629528
300783252505913344,1,0,18.18028,17.06975,16.65277,0.04713756
300784352017541120,1,0,19.21333,17.93132,17.46074,0.09006838
300786551040796672,1,0,18.33178,17.02898,16.58185,0.04747811
300787925430331392,1,0,19.46146,17.97921,17.15653,0.09527842
300788200308238336,1,0,18.524,17.28374,16.47674,0.1257513
300790674209400832,1,0,18.9757,18.04794,17.53136,0.08823899
300790949087307776,0,1,17.99773,16.37882,15.4114,0.0877696
300791223965214720,1,0,19.19638,17.26187,16.67933,0.06247292
301742851698485248,0,1,18.07344,16.29691,15.39118,0.07604031
301743126576392192,1,0,20.57263,18.70078,17.63795,0.1363658
301743951210113024,1,0,20.18852,18.60701,17.69628,0.1391733
301744775843833856,0,1,20.66164,18.00704,16.81152,0.1693277
301745325599647744,1,0,18.27523,16.95961,16.28497,0.09237399
301750548279879680,1,0,19.93069,18.20551,17.36272,0.06505554
301751647791507456,0,1,17.69812,15.94963,15.08532,0.03283051
301752197547321344,0,1,19.91358,18.14759,17.27336,0.06221536
301754121692669952,1,0,19.35564,17.78761,17.27308,0.09454266
301756595593832448,0,1,21.6136,18.99697,17.83767,0.1667408
301757695105460224,1,0,18.40621,17.22946,16.63267,0.07888881
301758244861274112,0,1,18.48843,16.49666,15.5437,0.09008988
301758519739181056,1,0,18.03381,16.67453,16.00219,0.087836
301759619250808832,1,0,19.0731,17.74899,17.11145,0.04565933
301759894128715776,0,1,17.50076,15.61232,14.64956,0.04526348
301760169006622720,1,0,19.76442,18.4344,17.41728,0.1378106
301760993640343552,1,0,18.63023,17.21644,16.47808,0.09508175
301761268518250496,1,0,19.52838,17.85922,17.17523,0.03266715
301762917785692160,1,0,18.94499,17.25798,16.35983,0.08995679
301763192663599104,0,1,20.22371,18.41207,17.21878,0.1853262
301763467541506048,1,0,19.30108,17.51557,16.92464,0.06188377
301765941442668544,0,1,19.20422,17.2868,16.1559,0.1048315
301766216320575488,0,1,17.729,15.78901,14.84838,0.06139873
301766766076389376,1,0,19.3715,18.22592,17.8044,0.08149754
301767315832203264,0,1,18.76791,16.96189,16.06254,0.08543276
301767590710110208,1,0,19.18559,17.65849,16.9067,0.1038225
301768415343831040,1,0,20.0539,18.50639,17.56887,0.08544431
301769239977551872,1,0,18.6818,17.63115,17.02738,0.08966059
301769514855458816,1,0,19.57627,17.71513,16.78019,0.08847246
301771164122900480,1,0,17.65363,16.10154,15.57918,0.04281429
301775562169411584,1,0,19.95108,18.26148,17.56208,0.1254833
301778585826387968,1,0,18.74942,17.5939,17.0116,0.08837859
301779135582201856,1,0,20.20955,17.97398,17.05978,0.0937748
301782434117085184,1,0,20.07687,18.55605,17.67768,0.0914688
301782708994992128,1,0,19.35481,18.13713,17.74627,0.09126621
301783808506619904,0,1,18.05084,16.3706,15.49296,0.06249987
301785457774061568,0,1,18.46987,16.66833,15.84292,0.0464684
301786007529875456,1,0,19.88452,18.06108,17.15333,0.1046411
301787107041503232,1,0,18.7649,17.60986,17.12512,0.07280485
301787381919410176,0,1,20.26389,18.59312,17.14161,0.2218805
301787931675224064,0,1,-9999,-9999,-9999,0.1738805
301788206553131008,0,1,20.68829,18.90383,17.71948,0.1680779
301788481431037952,1,0,19.91909,18.24649,17.37462,0.1683408
301789031186851840,1,0,19.79185,18.39847,17.71696,0.1716147
301789306064758784,0,1,19.65136,18.2222,16.96546,0.1670379
301789580942665728,1,0,18.51795,17.58936,17.28376,0.01708713
301790130698479616,1,0,20.2295,18.55107,17.49978,0.1661778
301790680454293504,1,0,16.05859,14.4789,13.75947,0.04747756
301790955332200448,1,0,18.07798,17.07101,16.56621,0.03307227
301791505088014336,0,1,20.58536,18.65942,17.51814,0.163661
301791779965921280,1,0,20.0739,18.69865,17.62698,0.1673396
301793154355456000,1,0,20.2373,18.24228,17.35433,0.07045922
301793429233362944,0,1,19.19186,17.79363,16.56193,0.1697427
301793704111269888,1,0,17.86047,16.60463,16.16673,0.07342248
301793978989176832,1,0,18.62815,17.45341,16.9472,0.07287358
301795078500804608,1,0,17.95424,16.24137,15.43172,0.04624894
301795353378711552,0,1,20.12507,18.16399,17.0591,0.1376319
301795628256618496,0,1,20.2653,18.45469,17.25348,0.1705594
301797552401967104,1,0,20.42179,18.43172,17.4394,0.1075663
301797827279874048,1,0,19.99174,17.98553,16.9917,0.09104228
301799751425222656,0,1,21.78514,19.05873,17.77359,0.1678794
301800026303129600,1,0,20.534,18.74483,17.75812,0.1681964
301800576058943488,1,0,19.69967,18.47698,17.46615,0.08496389
301802225326385152,0,1,18.52311,16.6823,15.73766,0.0876554
301803324838012928,1,0,19.68542,18.21697,17.49392,0.07309938
301803599715919872,1,0,19.57371,17.40679,17.06238,0.03540421
301803874593826816,1,0,20.17737,18.5015,17.54857,0.08343904
301804424349640704,1,0,18.08647,17.0163,16.57921,0.08184298
301804974105454592,0,1,18.60367,16.98304,16.00026,0.08852571
301805248983361536,1,0,18.48702,17.08169,16.42021,0.09004407
301806073617082368,1,0,19.31908,17.70407,16.94158,0.08888451
301806348494989312,1,0,18.79634,17.1115,16.50066,0.08794172
301810746541500416,1,0,19.15382,17.99875,17.53553,0.08471707
301812670686849024,1,0,21.84923,18.53073,17.66672,0.1377121
301814869710104576,1,0,19.13552,17.57597,16.75806,0.08841926
301815144588011520,1,0,18.91545,17.62381,17.3204,0.06948269
301815419465918464,1,0,19.23384,17.77698,16.98829,0.08693989
301815694343825408,0,1,18.83349,16.97205,15.97759,0.1254437
301816244099639296,1,0,20.32011,18.62347,17.72221,0.08812667
